Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
American Samoa,ASM,1.638293709,1.073368218,0.34764933,0.015773562,-0.159602956,-0.26891895,-0.354388346,-0.430123416,-0.464054457,-0.509197909,-0.538813761,-0.541732698,-0.604780137,-0.742342325,-0.890369493,-1.004921364,-1.105856451,-1.204318086,-1.269387464,-1.323023571,-1.382578863,-0.89627488,-1.082992017,-1.81008765,-1.712902942
Australia,AUS,1.093975803,1.144472851,1.283968091,1.137538736,1.150192733,1.069198122,1.217290731,1.349450831,1.824996795,2.003911405,2.060833163,1.555706262,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.646827797,1.49599671,1.477490711,1.233428251,0.140895083,1.272698814,2.447466169
Brunei Darussalam,BRN,2.224227331,2.171847504,2.09808399,2.0058762,1.904137119,1.793777762,1.687247732,1.58852616,1.688604653,1.848674063,1.877222462,1.898976893,1.782745917,1.532555159,1.382314706,1.340194369,1.302103593,1.259642722,1.210704566,1.157399588,1.106213509,1.061482816,0.960274305,0.804554269,0.782881747
Cambodia,KHM,1.706658914,1.59016993,1.561668659,1.54239258,1.511071915,1.47375057,1.457614537,1.475943055,1.475544331,1.51791486,1.576656181,1.556217454,1.518392423,1.499984187,1.49510213,1.482437252,1.46023763,1.458607676,1.381765961,1.243682774,1.26258301,1.470629886,1.476778362,1.330888131,1.283206776
China,CHN,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.23804087,0.0892522,-0.013099501,-0.103794532
Fiji,FJI,1.157147426,1.085776092,1.027749278,0.990026504,0.955390067,0.928394422,0.912261663,0.900982209,0.835147738,0.61813479,0.424160518,0.349901163,0.281889923,0.211061144,0.156612656,0.134464836,0.108160343,0.063991505,-0.044289077,-0.172010115,-0.249006858,0.006995063,0.190863716,0.295294728,0.5123774
French Polynesia,PYF,1.577928566,1.569228648,1.552358219,1.495538901,1.546649654,1.583739496,1.49587094,1.421790446,1.213998948,0.725858947,0.409772633,0.406991624,0.423008263,0.498155436,0.600207712,0.602054022,0.533692559,0.471058813,0.325069797,-0.097159868,-0.279503232,0.062696713,0.208586465,0.209222277,0.263581728
Guam,GUM,1.3048391,1.115750658,0.786577545,0.609313351,0.50514469,0.411688103,0.338234496,0.287967538,0.259310791,0.257433065,0.289273583,0.209801847,0.012610151,-0.127375541,-0.219683083,-0.289634901,-0.351704858,-0.408339927,-0.453432486,-0.49728924,-0.536848682,0.216072141,0.964756108,0.881705873,0.799555642
"Hong Kong SAR, China",HKG,0.955125814,0.881594076,0.736962668,0.442846827,-0.197404126,0.779918562,0.436871406,0.642270483,0.859633272,0.598238787,0.215353334,0.734446396,0.672543292,1.103957997,0.401982536,0.702370951,0.851197911,0.619366345,0.768513878,0.800230597,0.739283471,-0.358932662,-0.911776749,-0.907914524,2.553524667
Indonesia,IDN,1.503170964,1.432440078,1.388018928,1.355725755,1.323781977,1.271011395,1.283806612,1.325255023,1.320865324,1.29735043,1.266986251,1.260541401,1.276688306,1.285838166,1.240380016,1.175360912,1.122339818,1.0744882,1.022329398,0.96974341,0.935604959,0.849801187,0.704601322,0.74605047,0.842666137
